SMILES tc
CC[C@H](CCCC(C)(C)C)C 6.266e+02
CCC[C@H](CC(CC)CC)C 6.393e+02
CCCCC([C@H](CC)C)(C)C 6.313e+02
CC(C[C@H]([C@H](C(C)C)C)C)C 6.393e+02
CCCC([C@H](C(C)C)C)(C)C 6.364e+02
CCC[C@H](C(C(C)C)(C)C)C 6.545e+02
CCC[C@H]([C@H](C(C)(C)C)C)C 6.325e+02
CCC[C@H](CC(C)(C)C)CC 6.262e+02
CC([C@H]([C@H](C(C)(C)C)C)C)C 6.530e+02
CCC(C(C(C)C)(C)C)CC 6.550e+02
CCC[C@H]([C@H](C[C@H](CC)C)C)C 6.593e+02
CCCCC[C@H](C(CC)(C)C)C 6.659e+02
CCCCCCC(CC)(CC)C 6.590e+02
CCC(CC[C@H](C(C)C)C)(C)C 6.585e+02
CC[C@H](C[C@H](CC(C)(C)C)C)C 6.571e+02
CCC[C@H](CC(C(C)C)(C)C)C 6.533e+02
CCCC[C@H]([C@H](C(C)C)C)CC 6.529e+02
CC([C@@H](C(C)C)C)[C@@H](C(C)C)C 6.625e+02
CC[C@H](C(CC)(C)C)CC(C)C 6.681e+02
CCC([C@H](CC(C)C)C)(CC)C 6.658e+02
CCC(C[C@H](C(C)C)C)(CC)C 6.542e+02
CCC[C@H]([C@H](C(C)C)C)C(C)C 6.619e+02
CCCCC(C(C)C)(CC)CC 6.721e+02
CCCC[C@H](C(C)(C)C)C(C)C 6.502e+02
CCC(CC(CC)(CC)C)(C)C 6.713e+02
CC[C@H]([C@H](C(CC)(CC)C)C)C 6.707e+02
CCCC(C(CC)(CC)C)(C)C 6.751e+02
CCCC([C@H](CC)C)(CC)CC 6.689e+02
CC[C@H](C(C)(C)C)[C@H](C(C)C)C 6.661e+02
CC[C@](C(C)(C)C)(CC(C)C)C 6.757e+02
CC(C[C@H](C(C)(C)C)C(C)C)C 6.644e+02
CC[C@]([C@H](C(C)C)C)(C(C)C)C 6.875e+02
CC[C@](C(CC)(C)C)(C(C)C)C 6.959e+02
CCC(C(C(C)(C)C)(C)C)CC 6.756e+02
CC[C@H](C(C(C)C)(CC)CC)C 7.010e+02
CCCC(C(C)(C)C)(CC)CC 6.867e+02
CCC(C(CC)(CC)CC)CC 6.870e+02
CC[C@H](C[C@H](CCCC(C)C)C)C 6.622e+02
CCCCCC(CCC(C)C)(C)C 6.600e+02
CC(CCCCCC(C)(C)C)(C)C 6.575e+02
CC[C@H](CC[C@H]([C@H](C(C)C)C)C)C 6.837e+02
CC[C@@H](CC(C)C)CC[C@@H](CC)C 6.748e+02
CCC[C@](CCCC(C)C)(CC)C 6.750e+02
CCC(CC[C@H]([C@H](CC)C)C)CC 6.645e+02
CCCC(CCC(CC)CC)(C)C 6.636e+02
CCCC[C@H]([C@H]([C@H](CC)C)CC)C 6.663e+02
CC(C[C@H](C[C@H](C(C)(C)C)C)C)C 6.780e+02
CC[C@H]([C@H](CC(C)C)C)CC(C)C 6.651e+02
